crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDDL-1.0	ISC	MIT	MIT-0	MPL-2.0	MulanPSL-2.0	Unicode-DFS-2016	Unlicense	Zlib	Unlicensed
addr2line@0.19.0		X								X						
adler@1.0.2	X	X								X						
ahash@0.7.6		X								X						
ahash@0.8.3		X								X						
aho-corasick@1.0.1										X					X	
alloc-no-stdlib@2.0.4					X											
alloc-stdlib@0.2.2					X											
alloc_tracker@2.0.0		X														
allocator-api2@0.2.16		X								X						
analytic_engine@2.0.0		X														
android-tzdata@0.1.1		X								X						
android_system_properties@0.1.5		X								X						
anes@0.1.6		X								X						
ansi_term@0.12.1										X						
anstream@0.6.13		X								X						
anstyle@1.0.1		X								X						
anstyle-parse@0.2.3		X								X						
anstyle-query@1.0.2		X								X						
anstyle-wincon@3.0.2		X								X						
anyhow@1.0.70		X								X						
arc-swap@0.4.8		X								X						
arc-swap@1.6.0		X								X						
arena@2.0.0		X														
array-init@2.1.0		X								X						
arrayref@0.3.7				X												
arrayvec@0.7.2		X								X						
arrow@38.0.0		X														
arrow@49.0.0		X														
arrow-arith@38.0.0		X														
arrow-arith@49.0.0		X														
arrow-array@38.0.0		X														
arrow-array@49.0.0		X														
arrow-buffer@38.0.0		X														
arrow-buffer@49.0.0		X														
arrow-cast@38.0.0		X														
arrow-cast@49.0.0		X														
arrow-csv@38.0.0		X														
arrow-csv@49.0.0		X														
arrow-data@38.0.0		X														
arrow-data@49.0.0		X														
arrow-ipc@38.0.0		X														
arrow-ipc@49.0.0		X														
arrow-json@38.0.0		X														
arrow-json@49.0.0		X														
arrow-ord@38.0.0		X														
arrow-ord@49.0.0		X														
arrow-row@38.0.0		X														
arrow-row@49.0.0		X														
arrow-schema@38.0.0		X														
arrow-schema@49.0.0		X														
arrow-select@38.0.0		X														
arrow-select@49.0.0		X														
arrow-string@38.0.0		X														
arrow-string@49.0.0		X														
arrow_ext@2.0.0		X														
arrow_util@0.1.0		X								X						
async-compression@0.4.1		X								X						
async-io@1.13.0		X								X						
async-lock@2.7.0		X								X						
async-recursion@1.0.4		X								X						
async-stream@0.3.4										X						
async-stream-impl@0.3.4										X						
async-trait@0.1.77		X								X						
atomic_enum@0.2.0										X						
atty@0.2.14										X						
autocfg@1.1.0		X								X						
axum@0.6.12										X						
axum-core@0.3.3										X						
backtrace@0.3.67		X								X						
base64@0.13.1		X								X						
base64@0.21.0		X								X						
bcder@0.7.3					X											
benchmarks@2.0.0		X														
bigdecimal@0.3.0		X								X						
bincode@1.3.3										X						
bindgen@0.59.2					X											
bindgen@0.65.1					X											
bitflags@1.3.2		X								X						
bitflags@2.3.3		X								X						
bitvec@1.0.1										X						
blake2@0.10.6		X								X						
blake3@1.3.3		X					X									
block-buffer@0.10.4		X								X						
brotli@3.3.4					X					X						
brotli-decompressor@2.3.4					X					X						
buf_redux@0.8.4		X								X						
bufstream@0.1.4		X								X						
bumpalo@3.12.0		X								X						
bytecount@0.6.3		X								X						
bytemuck@1.13.1		X								X						X
byteorder@1.4.3										X					X	
bytes@1.5.0										X						
bytes_ext@2.0.0		X														
bzip2@0.4.4		X								X						
bzip2-sys@0.1.11+1.0.8		X								X						
camino@1.1.4		X								X						
cargo-platform@0.1.2		X								X						
cargo_metadata@0.14.2										X						
cast@0.3.0		X								X						
catalog@2.0.0		X														
catalog_impls@2.0.0		X														
cc@1.0.83		X								X						
cexpr@0.6.0		X								X						
cfg-if@0.1.10		X								X						
cfg-if@1.0.0		X								X						
chrono@0.4.31		X								X						
chrono-tz@0.8.1		X								X						
chrono-tz-build@0.1.0		X								X						
ciborium@0.2.1		X														
ciborium-io@0.2.1		X														
ciborium-ll@0.2.1		X														
clang-sys@1.6.1		X														
clap@4.5.1		X								X						
clap_builder@4.5.1		X								X						
clap_derive@4.5.0		X								X						
clap_lex@0.7.0		X								X						
clru@0.6.1										X						
cluster@2.0.0		X														
cmake@0.1.50		X								X						
codec@2.0.0		X														
codespan-reporting@0.11.1		X														
colorchoice@1.0.0		X								X						
comfy-table@6.1.4										X						
comfy-table@7.0.1										X						
common_types@2.0.0		X														
concurrent-queue@2.1.0		X								X						
console-api@0.5.0										X						
console-subscriber@0.1.9										X						
const-oid@0.9.4		X								X						
constant_time_eq@0.2.5		X					X				X					
core-foundation-sys@0.8.3		X								X						
cpp_demangle@0.4.2		X								X						
cpufeatures@0.2.6		X								X						
crc@3.0.1		X								X						
crc-catalog@2.2.0		X								X						
